DATE,TIME,FORECAST_VALUE,MEASURED_VALUE
2023-01-17,00:00,6297.66,6234
2023-01-17,01:00,5892.64,5886
2023-01-17,02:00,5475.54,5483
2023-01-17,03:00,5229.33,5188
2023-01-17,04:00,5131.15,5063
2023-01-17,05:00,5307.55,5242
2023-01-17,06:00,5885.29,5813
2023-01-17,07:00,6420.24,6241
2023-01-17,08:00,6602.15,6430
2023-01-17,09:00,6691.66,6582
2023-01-17,10:00,6678.53,6539
2023-01-17,11:00,6656.48,6571
2023-01-17,12:00,6613.96,6565
2023-01-17,13:00,6505.03,6495
2023-01-17,14:00,6409.48,6413
2023-01-17,15:00,6448.59,6411
2023-01-17,16:00,6797.18,6688
2023-01-17,17:00,7099.04,6863
2023-01-17,18:00,7135.79,6926
2023-01-17,19:00,7084.08,6852
2023-01-17,20:00,6987.48,6743
2023-01-17,21:00,6818.97,6577
2023-01-17,22:00,6730.24,6478
2023-01-17,23:00,6578.79,6397
2023-01-18,00:00,6268.79,6254
2023-01-18,01:00,5838.57,5864
2023-01-18,02:00,5477.9,5451
2023-01-18,03:00,5251.9,5161
2023-01-18,04:00,5176.57,5080
2023-01-18,05:00,5371.07,5272
2023-01-18,06:00,5931.22,5846
2023-01-18,07:00,6412.11,6347
2023-01-18,08:00,6539.94,6520
2023-01-18,09:00,6576.95,6522
2023-01-18,10:00,6514.74,6497
2023-01-18,11:00,6411.06,6449
2023-01-18,12:00,6270.36,6321
2023-01-18,13:00,6188.99,6251
2023-01-18,14:00,6091.61,6054
2023-01-18,15:00,6132.55,6086
2023-01-18,16:00,6633.91,6452
2023-01-18,17:00,6955.72,6863
2023-01-18,18:00,6974.1,6926
2023-01-18,19:00,6904.8,6848
2023-01-18,20:00,6784.84,6810
2023-01-18,21:00,6629.71,6581
2023-01-18,22:00,6543.09,6537
2023-01-18,23:00,6419.19,6453
2023-01-19,00:00,6090.82,6301
2023-01-19,01:00,5687.11,5859
2023-01-19,02:00,5294.69,5460
2023-01-19,03:00,5045.32,5141
2023-01-19,04:00,4972.61,5104
2023-01-19,05:00,5188.38,5281
2023-01-19,06:00,5756.41,5779
2023-01-19,07:00,6201.06,6258
2023-01-19,08:00,6321.55,6428
2023-01-19,09:00,6339.13,6470
2023-01-19,10:00,6305.53,6364
2023-01-19,11:00,6268.79,6314
2023-01-19,12:00,6165.1,6218
2023-01-19,13:00,6133.08,6116
2023-01-19,14:00,6023.1,6025
2023-01-19,15:00,6106.04,6041
2023-01-19,16:00,6570.91,6384
2023-01-19,17:00,6744.42,6603
2023-01-19,18:00,6760.43,6732
2023-01-19,19:00,6658.06,6674
2023-01-19,20:00,6548.08,6506
2023-01-19,21:00,6331.78,6335
2023-01-19,22:00,6179.01,6276
2023-01-19,23:00,6095.81,6163
2023-01-20,00:00,6034.91,6169
2023-01-20,01:00,5687.9,5768
2023-01-20,02:00,5287.6,5384
2023-01-20,03:00,5023.27,5096
2023-01-20,04:00,4911.19,4961
2023-01-20,05:00,4973.92,4974
2023-01-20,06:00,5234.84,5167
2023-01-20,07:00,5562.69,5528
2023-01-20,08:00,5877.41,5875
2023-01-20,09:00,6097.64,6137
2023-01-20,10:00,6156.7,6212
2023-01-20,11:00,6195.29,6234
2023-01-20,12:00,6178.75,6159
2023-01-20,13:00,6125.99,6010
2023-01-20,14:00,6027.82,5792
2023-01-20,15:00,6095.02,5692
2023-01-20,16:00,6498.2,5892
2023-01-20,17:00,6679.58,6183
2023-01-20,18:00,6648.61,6166
2023-01-20,19:00,6579.31,6048
2023-01-20,20:00,6441.5,5990
2023-01-20,21:00,6273.25,5926
2023-01-20,22:00,6172.72,5970
2023-01-20,23:00,6113.13,6008
