DATE,TIME,FORECAST_VALUE,MEASURED_VALUE
2023-01-17,00:00,6297.66,6234
2023-01-17,01:00,5892.64,5886
2023-01-17,02:00,5475.54,5483
2023-01-17,03:00,5229.33,5188
2023-01-17,04:00,5131.15,5063
2023-01-17,05:00,5307.55,5242
2023-01-17,06:00,5885.29,5813
2023-01-17,07:00,6420.24,6241
2023-01-17,08:00,6602.15,6430
2023-01-17,09:00,6691.66,6582
2023-01-17,10:00,6678.53,6539
2023-01-17,11:00,6656.48,6571
2023-01-17,12:00,6613.96,6565
2023-01-17,13:00,6505.03,6495
2023-01-17,14:00,6409.48,6413
2023-01-17,15:00,6448.59,6411
2023-01-17,16:00,6797.18,6688
2023-01-17,17:00,7099.04,6863
2023-01-17,18:00,7135.79,6926
2023-01-17,19:00,7084.08,6852
2023-01-17,20:00,6987.48,6743
2023-01-17,21:00,6818.97,6577
2023-01-17,22:00,6730.24,6478
2023-01-17,23:00,6578.79,6397
